iter	MultiClass
443	0.08772634561
444	0.08752928814
445	0.08732052088
446	0.08707275734
447	0.08693651785
448	0.08667257577
449	0.08647257157
450	0.0861885342
451	0.08593800902
452	0.0856925519
453	0.08551851414
454	0.08531396834
455	0.08511515841
456	0.08502888276
457	0.08483029454
458	0.08459337774
459	0.0843992549
460	0.0842272218
461	0.08398879155
462	0.08385401225
463	0.08369591615
464	0.08347930442
465	0.08319872635
466	0.08299899973
467	0.08287219249
468	0.08273479193
469	0.08261823794
470	0.08244669809
471	0.08225524125
472	0.08212065587
473	0.08199925801
474	0.08180994317
475	0.08167510382
476	0.08152434288
477	0.08132751568
478	0.08115417071
479	0.08104154821
480	0.08091715291
481	0.08079928754
482	0.08063736041
483	0.08044637905
484	0.08031817026
485	0.08018344084
486	0.08002499077
487	0.07983290878
488	0.07973360189
489	0.0795409832
490	0.0793873605
491	0.07922907718
492	0.07908054032
493	0.07895677855
494	0.07874891071
495	0.0785517791
496	0.07841608233
497	0.0782999326
498	0.07816212102
499	0.07802614219
500	0.0778568754
501	0.07771568442
502	0.07760566668
503	0.07746931328
504	0.07733655408
505	0.07718579398
506	0.07701875503
507	0.07688057512
508	0.07675178335
509	0.07663038879
510	0.07650874496
511	0.0763464421
512	0.07624541389
513	0.07607872418
514	0.07592709983
515	0.07578603788
516	0.07551758236
517	0.07540987614
518	0.07523737438
519	0.07513554962
520	0.07496919446
521	0.07490300795
522	0.07477026085
523	0.07457106122
524	0.07447475251
525	0.07436210722
526	0.07424236569
527	0.07416376163
528	0.07405097272
529	0.07389737785
530	0.07371535339
531	0.07360778798
532	0.07344504695
533	0.07337745893
534	0.07320999275
535	0.07313320887
536	0.07300531073
537	0.07285842267
538	0.07268880995
539	0.07250671485
540	0.07231285236
541	0.07220383212
542	0.0720878364
543	0.07197038296
544	0.07182676234
545	0.07168903412
546	0.07153301206
547	0.07143202873
548	0.07128673223
549	0.07116982743
550	0.07104247585
551	0.07095193783
552	0.07084133533
553	0.07072142946
554	0.07059836116
555	0.07048626553
556	0.07037016513
557	0.07022058644
558	0.07013702988
559	0.07001711063
560	0.06990434178
561	0.06978727941
562	0.06968887735
563	0.06956017123
564	0.06942151624
565	0.06933360084
566	0.06922770485
567	0.06912564154
568	0.06898534211
569	0.06877219799
570	0.06865790083
571	0.06853546227
572	0.06845546049
573	0.06831379661
574	0.06813581976
575	0.06798741716
576	0.06788410768
577	0.06782305227
578	0.06760415896
579	0.06746775944
580	0.06731382734
581	0.06713627798
582	0.06701548295
583	0.0669415645
584	0.06679981739
585	0.0666463114
586	0.06649016989
587	0.06638700999
588	0.06622246851
589	0.06605163269
590	0.06592486444
591	0.06583117989
592	0.06575839986
593	0.0656607128
594	0.06553241417
595	0.06543762669
596	0.06531217515
597	0.06520187263
598	0.06508839583
599	0.06495227964
600	0.06486491682
601	0.06474888337
602	0.0646925385
603	0.06460952299
604	0.06445366563
605	0.06431855924
606	0.0641669077
607	0.06406781275
608	0.06396305605
609	0.06383393907
610	0.06367111119
611	0.06354734254
612	0.06347569312
613	0.06333742751
614	0.06323716077
615	0.06316897192
616	0.06302299152
617	0.06292491883
618	0.06281097209
619	0.06275080306
620	0.06267599542
621	0.06256113194
622	0.06242804862
623	0.06233684673
624	0.06224801072
625	0.06217977825
626	0.06211569147
627	0.06196282895
628	0.06180763159
629	0.06166118551
630	0.06152496007
631	0.06140730255
632	0.06131206533
633	0.06115999937
634	0.06106218396
635	0.06097856539
636	0.06088445054
637	0.06080167497
638	0.06068412385
639	0.06054770016
640	0.06048893824
641	0.06039693679
642	0.06029992825
643	0.0602194475
644	0.06014683631
645	0.0600129054
646	0.05993066601
647	0.05979639829
648	0.05969329486
649	0.05962066687
650	0.0594902165
651	0.05943280563
652	0.05936114135
653	0.059241913
654	0.05913056603
655	0.05903684973
656	0.05888795195
657	0.05880497477
658	0.05876347486
659	0.05864446254
660	0.05855662451
661	0.05847322724
662	0.058394042
663	0.05829951502
664	0.05822625617
665	0.0581201783
666	0.05803141098
667	0.05785820339
668	0.05773459792
669	0.05763648312
670	0.05752329058
671	0.05737717612
672	0.0573362816
673	0.05725897669
674	0.05714194844
675	0.05704964648
676	0.05692403549
677	0.05681115187
678	0.05670931786
679	0.05660026319
680	0.05651460043
681	0.05643839179
682	0.05637770482
683	0.05630597967
684	0.05625753677
685	0.0561204118
686	0.0560641186
687	0.05598704599
688	0.05589377889
689	0.05580179161
690	0.05567149418
691	0.05553580992
692	0.05547256383
693	0.05540423726
694	0.0553646403
695	0.05530429039
696	0.0551873569
697	0.05510968948
698	0.05505215299
699	0.05493598788
700	0.05486665801
701	0.05477913256
702	0.05471206067
703	0.05458555935
704	0.05447269467
705	0.05440552712
706	0.0543259418
707	0.05421557426
708	0.05411748511
709	0.05404796123
710	0.05396574726
711	0.0538370265
712	0.05377518846
713	0.05370310405
714	0.05358508275
715	0.05348048199
716	0.05344145926
717	0.05331414847
718	0.05324410744
719	0.05313454418
720	0.05302550864
721	0.05289540657
722	0.05281278395
723	0.05271710802
724	0.05264376574
725	0.05255038033
726	0.05244877728
727	0.05235850414
728	0.05224645182
729	0.05218037658
730	0.05208962997
731	0.05198685352
732	0.05190007828
733	0.05179099278
734	0.05171549018
735	0.05162878296
736	0.05154479886
737	0.05147534389
738	0.05141358068
739	0.05137762979
740	0.05126097543
741	0.05119296605
742	0.05109808213
743	0.05099607013
744	0.05092164822
745	0.05084096774
746	0.05073575857
747	0.05070408917
748	0.05063774687
749	0.05052129974
750	0.05047855593
751	0.05039690707
752	0.05032167493
753	0.05020891526
754	0.05013546596
755	0.05001121975
756	0.04992325509
757	0.04986939665
758	0.04979816931
759	0.0497077031
760	0.04963572391
761	0.04957925319
762	0.04949841907
763	0.04942937518
764	0.04936619789
765	0.04926860488
766	0.0491681756
767	0.04908909432
768	0.04900575513
769	0.04893031929
770	0.04888153687
771	0.04882775328
772	0.04875445198
773	0.04869671027
774	0.04865055035
775	0.04852929021
776	0.04848864234
777	0.04844824641
778	0.04840130518
779	0.04828886342
780	0.04823866348
781	0.04813638705
782	0.04807072207
783	0.04799965483
784	0.04793973583
785	0.0478824149
786	0.04782305176
787	0.04777024603
788	0.04771604844
789	0.04766903904
790	0.04756104502
791	0.04744941832
792	0.04738587664
793	0.0472916264
794	0.04722119863
795	0.04715856238
796	0.04711275983
797	0.04702670833
798	0.04696233604
799	0.04687172187
800	0.04680437444
801	0.04671750239
802	0.04664274162
803	0.04656885912
804	0.04644020638
805	0.04636126877
806	0.04632188961
807	0.04626045534
808	0.0461919915
809	0.04608912589
810	0.04602116282
811	0.04593241153
812	0.04584440406
813	0.0457908837
814	0.04570116879
815	0.04561829306
816	0.04554693119
817	0.04548333362
818	0.04543099405
819	0.04538007609
820	0.04531639169
821	0.04522215444
822	0.04515826032
823	0.04510386215
824	0.04504882554
825	0.04499953858
826	0.04492546632
827	0.04488646527
828	0.04482503161
829	0.04476610712
830	0.04468995567
831	0.04461937724
832	0.04455017997
833	0.04448792178
834	0.04444283614
835	0.0443831737
836	0.04430360123
837	0.04424315236
838	0.04413677902
839	0.04406241517
840	0.04400695778
841	0.04396264734
842	0.04391045837
843	0.04384604395
844	0.04379622968
845	0.043744479
846	0.0436700071
847	0.04360498175
848	0.04354597644
849	0.04348337886
850	0.0434399301
851	0.04339618783
852	0.0432925694
853	0.04320664244
854	0.04314235229
855	0.04306683287
856	0.04298989927
857	0.04294088422
858	0.04284233732
859	0.04279001497
860	0.04273482947
861	0.04266646216
862	0.04259593279
863	0.04253625205
864	0.04247292054
865	0.04242685287
866	0.04235958621
867	0.0423166991
868	0.042268058
869	0.0422039323
870	0.04214947293
871	0.04204252036
872	0.04199291723
873	0.04195121501
874	0.0418715968
875	0.04180770341
876	0.04173489932
877	0.04168106523
878	0.04163613835
879	0.04158604838
880	0.04153617366
881	0.04148037233
882	0.04144114789
883	0.04137772013
884	0.04130875607
885	0.0412476204
886	0.04118573865
887	0.04111355155
888	0.04106513442
889	0.04098046302
890	0.04091227533
891	0.04085960717
892	0.04079740608
893	0.04073553483
894	0.04069018789
895	0.04064026935
896	0.04054138414
897	0.04050731653
898	0.0404773063
899	0.04043042011
900	0.04035268877
901	0.04029051898
902	0.04024530913
903	0.04016927059
904	0.04013003158
905	0.04004369023
906	0.03998985223
907	0.03990141116
908	0.03981752786
909	0.03976795584
910	0.03970190133
911	0.03963806089
912	0.03956244934
913	0.03952611864
914	0.03944973661
915	0.03936369729
916	0.03932300781
917	0.03927810295
918	0.03921121822
919	0.03916899602
920	0.03912886166
921	0.03908743749
922	0.03903678509
923	0.03898929594
924	0.03894402996
925	0.03889408591
926	0.03883746936
927	0.0387848887
928	0.03873953003
929	0.03870328693
930	0.03863712111
931	0.03858358867
932	0.03852944714
933	0.03846479713
934	0.03842046399
935	0.03838077017
936	0.03832155881
937	0.03825711002
938	0.03819541242
939	0.03814911679
940	0.03810554077
941	0.0380621539
942	0.03802442349
943	0.03798258498
944	0.0379355132
945	0.03785768913
946	0.03780314113
947	0.03775680575
948	0.03771340791
949	0.03764902702
950	0.03761239019
951	0.03755893552
952	0.03750389394
953	0.03744933816
954	0.03741203277
955	0.03736595429
956	0.03732283534
957	0.03729931862
958	0.03726421231
959	0.03721591101
960	0.03717522629
961	0.0371106613
962	0.03706865143
963	0.03702196298
964	0.03697144055
965	0.03690213363
966	0.03687064241
967	0.0368215405
968	0.03679097523
969	0.03672716677
970	0.03666767571
971	0.03661258647
972	0.03657609624
973	0.0365177145
974	0.0364687423
975	0.03642311021
976	0.03636173667
977	0.03629814304
978	0.03624423346
979	0.03620072927
980	0.03615707498
981	0.03612946281
982	0.03607926692
983	0.03605116044
984	0.03601564253
985	0.03595611942
986	0.03593021421
987	0.03590233864
988	0.03584346225
989	0.03581200151
990	0.03576278271
991	0.0356974048
992	0.03563871601
993	0.03559919623
994	0.03555942483
995	0.03553802655
996	0.03549632724
997	0.03546693491
998	0.03542616033
999	0.03540237985
